ID,Title,Dynasty,Artist,Format,Material,H,W,A,Size,Institute,Nationality,Source,Note,Seals and Inscriptions,Set,Tag1,Tag2,Tag3,Tag4
1,溪山行旅,SS2,傳 范寬,squarish 方幅,Silk 絹本,23.9,25.5,609.45,S,"Art Museum, Princeton University, USA",USA,Museum Website,,,,landscape,,figure,
2,瀟湘八景圖1,SS2,傳 王洪,handscroll 卷,Silk 絹本,23.4,90.7,2122.38,M,"Art Museum, Princeton University, USA",USA,宋畫全集第六卷第六冊,,,瀟湘八景圖四段,,,,
3,瀟湘八景圖2,SS2,傳 王洪,handscroll 卷,Silk 絹本,23.4,90.7,2122.38,M,"Art Museum, Princeton University, USA",USA,宋畫全集第六卷第六冊,,,瀟湘八景圖四段,,,,
4,瀟湘八景圖3,SS2,傳 王洪,handscroll 卷,Silk 絹本,23.4,90.7,2122.38,M,"Art Museum, Princeton University, USA",USA,宋畫全集第六卷第六冊,,,瀟湘八景圖四段,,,,
5,瀟湘八景圖4,SS2,傳 王洪,handscroll 卷,Silk 絹本,23.4,90.7,2122.38,M,"Art Museum, Princeton University, USA",USA,宋畫全集第六卷第六冊,,,瀟湘八景圖四段,,,,
6,山水圖,NS2,李公年,hanging scroll 軸,Silk 絹本,130,48.4,6292,L,"Art Museum, Princeton University, USA",USA,宋畫全集第六卷第六冊,,,,,,,
7,寒塘圖,SS2,梁楷,squarish 方幅,Silk 絹本,24.6,25.7,632.22,S,"Arthur M. Sackler Museum / Harvard University Art Museum, USA",USA,宋畫全集第六卷第六冊,,,,landscape,,,
8,仿周文矩 宮中圖,,佚名,handscroll 卷,Silk 絹本,25.7,177,4548.9,L,"Arthur M. Sackler Museum / Harvard University Art Museum, USA",USA,宋畫全集第六卷第六冊,,,,,,,
9,山水舟遊,SS2,傳　馬遠,hanging scroll 軸,Silk 絹本,172.5,85.2,14697,L,"British Museum, GB",EU,宋畫全集第六卷第六冊,,,,,,,
10,陳風圖,SS2,傳　馬和之,handscroll 卷,Silk 絹本,26.7,739,19731.3,XL,"British Museum, GB",EU,宋畫全集第六卷第六冊,,,,,,,
11,Mountain Terrace and Pavilion,,佚名,squarish 方幅,Silk 絹本,24.6,24.6,605.16,S,"Cleveland Museum of Art, USA",USA,Museum Website,,,,architecture,,,
12,Winter Scene,,佚名,squarish 方幅,Silk 絹本,24,24,576,S,"Cleveland Museum of Art, USA",USA,Museum Website,,,,landscape,,,
13,戲猿圖,SS2,傳 夏珪,handscroll 卷,Silk 絹本,24.8,26.5,657.2,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,animal,,,
14,親蠶圖,SS2,傳 梁楷,handscroll 卷,Silk 絹本,27.6,92.3,2547.48,M,"Cleveland Museum of Art, USA",USA,Museum Website,,,,,,,
15,秋蘆飛鶩,SS2,傳 梁楷,squarish 方幅,Silk 絹本,23,22.9,526.7,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,animal,landscape,,
16,蹴鞠圖,SS2,傳馬遠,hanging scroll 軸,Silk 絹本,115.6,55.3,6392.68,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
